Day,Month,Year,Source,Power
2018,1,2,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031, 0.113, 0.193, 0.262, 0.317, 0.384, 0.501, 0.319, 0.088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,2,WG,"[0.236, 0.218, 0.225, 0.245, 0.272, 0.269, 0.233, 0.2, 0.192, 0.17, 0.151, 0.144, 0.155, 0.178, 0.182, 0.204, 0.221, 0.226, 0.274, 0.319, 0.352, 0.349, 0.311, 0.257]"
2018,1,3,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.036, 0.108, 0.222, 0.412, 0.555, 0.603, 0.5, 0.324, 0.093, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,3,WG,"[0.216, 0.201, 0.199, 0.193, 0.173, 0.146, 0.127, 0.114, 0.113, 0.098, 0.091, 0.111, 0.157, 0.239, 0.305, 0.289, 0.245, 0.259, 0.305, 0.309, 0.281, 0.238, 0.201, 0.161]"
2018,1,4,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035, 0.149, 0.24, 0.348, 0.474, 0.56, 0.503, 0.33, 0.099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,4,WG,"[0.116, 0.071, 0.038, 0.034, 0.056, 0.085, 0.114, 0.144, 0.171, 0.179, 0.211, 0.241, 0.296, 0.404, 0.491, 0.534, 0.53, 0.476, 0.547, 0.54, 0.466, 0.391, 0.384, 0.403]"
2018,1,5,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.038, 0.231, 0.366, 0.583, 0.674, 0.64, 0.526, 0.327, 0.078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,5,WG,"[0.413, 0.447, 0.476, 0.495, 0.491, 0.454, 0.416, 0.447, 0.466, 0.494, 0.615, 0.642, 0.674, 0.712, 0.748, 0.759, 0.731, 0.623, 0.603, 0.63, 0.642, 0.602, 0.586, 0.625]"
2018,1,6,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023, 0.063, 0.084, 0.098, 0.094, 0.068, 0.038, 0.015, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,6,WG,"[0.672, 0.729, 0.759, 0.809, 0.779, 0.718, 0.56, 0.389, 0.258, 0.206, 0.162, 0.192, 0.25, 0.23, 0.237, 0.378, 0.607, 0.722, 0.776, 0.819, 0.822, 0.813, 0.799, 0.756]"
2018,1,7,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.074, 0.165, 0.27, 0.318, 0.415, 0.328, 0.268, 0.151, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,7,WG,"[0.706, 0.674, 0.644, 0.619, 0.589, 0.491, 0.436, 0.401, 0.347, 0.283, 0.296, 0.355, 0.454, 0.522, 0.516, 0.449, 0.317, 0.147, 0.065, 0.028, 0.031, 0.069, 0.104, 0.12]"
2018,1,8,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017, 0.263, 0.454, 0.541, 0.557, 0.56, 0.543, 0.399, 0.159, 0.026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,8,WG,"[0.117, 0.099, 0.078, 0.057, 0.044, 0.039, 0.04, 0.045, 0.046, 0.041, 0.035, 0.03, 0.025, 0.022, 0.013, 0.005, 0.003, 0.002, 0.002, 0.005, 0.017, 0.035, 0.046, 0.03]"
2018,1,9,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009, 0.105, 0.191, 0.21, 0.198, 0.165, 0.154, 0.102, 0.051, 0.007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,9,WG,"[0.014, 0.009, 0.011, 0.014, 0.032, 0.063, 0.118, 0.162, 0.215, 0.236, 0.186, 0.259, 0.305, 0.302, 0.297, 0.278, 0.212, 0.261, 0.379, 0.42, 0.438, 0.494, 0.547, 0.619]"
2018,1,10,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009, 0.035, 0.122, 0.182, 0.217, 0.39, 0.409, 0.264, 0.027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,10,WG,"[0.619, 0.526, 0.453, 0.445, 0.539, 0.589, 0.601, 0.618, 0.59, 0.491, 0.535, 0.627, 0.697, 0.77, 0.839, 0.861, 0.841, 0.773, 0.808, 0.871, 0.903, 0.903, 0.906, 0.84]"
2018,1,11,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.024, 0.045, 0.105, 0.303, 0.343, 0.354, 0.278, 0.063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,11,WG,"[0.674, 0.508, 0.311, 0.278, 0.338, 0.391, 0.413, 0.482, 0.59, 0.627, 0.656, 0.668, 0.76, 0.812, 0.795, 0.732, 0.607, 0.476, 0.488, 0.501, 0.503, 0.464, 0.429, 0.386]"
2018,1,12,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022, 0.278, 0.551, 0.673, 0.693, 0.71, 0.66, 0.567, 0.323, 0.057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,12,WG,"[0.314, 0.241, 0.193, 0.158, 0.104, 0.056, 0.072, 0.087, 0.084, 0.049, 0.039, 0.024, 0.008, 0.022, 0.044, 0.048, 0.043, 0.053, 0.038, 0.021, 0.014, 0.026, 0.054, 0.089]"
2018,1,13,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024, 0.058, 0.159, 0.329, 0.51, 0.627, 0.535, 0.274, 0.039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,13,WG,"[0.111, 0.128, 0.144, 0.169, 0.185, 0.195, 0.199, 0.192, 0.201, 0.225, 0.215, 0.204, 0.314, 0.503, 0.657, 0.725, 0.737, 0.646, 0.623, 0.607, 0.59, 0.596, 0.559, 0.535]"
2018,1,14,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014, 0.039, 0.082, 0.283, 0.241, 0.175, 0.133, 0.075, 0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,14,WG,"[0.465, 0.444, 0.425, 0.411, 0.343, 0.3, 0.276, 0.258, 0.232, 0.208, 0.215, 0.233, 0.228, 0.193, 0.153, 0.106, 0.08, 0.076, 0.089, 0.104, 0.121, 0.146, 0.16, 0.176]"
2018,1,15,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014, 0.208, 0.394, 0.513, 0.651, 0.689, 0.65, 0.545, 0.362, 0.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,15,WG,"[0.194, 0.215, 0.249, 0.297, 0.323, 0.325, 0.323, 0.328, 0.347, 0.269, 0.167, 0.259, 0.185, 0.103, 0.042, 0.027, 0.062, 0.082, 0.083, 0.095, 0.086, 0.068, 0.083, 0.123]"
2018,1,16,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039, 0.338, 0.529, 0.645, 0.703, 0.705, 0.657, 0.551, 0.373, 0.119, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,16,WG,"[0.174, 0.231, 0.279, 0.32, 0.335, 0.32, 0.302, 0.282, 0.259, 0.179, 0.156, 0.214, 0.257, 0.305, 0.346, 0.358, 0.314, 0.27, 0.299, 0.312, 0.307, 0.264, 0.191, 0.126]"
2018,1,17,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.064, 0.238, 0.59, 0.695, 0.723, 0.678, 0.572, 0.397, 0.137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,17,WG,"[0.081, 0.045, 0.041, 0.057, 0.068, 0.071, 0.055, 0.05, 0.058, 0.042, 0.041, 0.135, 0.255, 0.328, 0.361, 0.368, 0.325, 0.31, 0.35, 0.376, 0.407, 0.452, 0.516, 0.583]"
2018,1,18,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034, 0.318, 0.542, 0.656, 0.711, 0.713, 0.652, 0.504, 0.255, 0.034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,18,WG,"[0.64, 0.66, 0.618, 0.556, 0.501, 0.43, 0.388, 0.414, 0.442, 0.314, 0.206, 0.294, 0.236, 0.164, 0.123, 0.103, 0.085, 0.097, 0.155, 0.271, 0.538, 0.46, 0.252, 0.142]"
2018,1,19,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014, 0.183, 0.416, 0.597, 0.667, 0.681, 0.648, 0.55, 0.381, 0.132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,19,WG,"[0.085, 0.072, 0.092, 0.142, 0.179, 0.184, 0.177, 0.159, 0.127, 0.076, 0.023, 0.027, 0.03, 0.017, 0.02, 0.078, 0.172, 0.294, 0.403, 0.464, 0.479, 0.504, 0.485, 0.396]"
2018,1,20,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051, 0.349, 0.532, 0.624, 0.64, 0.604, 0.608, 0.508, 0.341, 0.112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2018,1,20,WG,"[0.361, 0.339, 0.264, 0.201, 0.157, 0.112, 0.063, 0.045, 0.057, 0.074, 0.083, 0.232, 0.433, 0.51, 0.556, 0.593, 0.548, 0.469, 0.508, 0.508, 0.466, 0.407, 0.362, 0.325]"
2018,1,21,PV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019, 0.126, 0.295, 0.555, 0.681, 0.696, 0.647, 0.541, 0.369, 0.124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
